"Week","None","D0","D1","D2","D3","D4","DSCI"
"2023-02-07","31.39","20.57","27.67","19.15","1.22","0.00","138"
"2023-01-31","31.49","20.34","20.75","22.15","5.27","0.00","149"
"2023-01-24","29.19","22.64","20.75","22.15","5.27","0.00","152"
"2023-01-17","27.23","23.84","18.46","24.32","6.15","0.00","158"
"2023-01-10","19.66","27.14","20.24","25.01","7.95","0.00","174"
"2023-01-03","13.39","29.82","20.29","28.19","7.79","0.53","189"
"2022-12-27","5.95","34.48","22.27","28.01","8.76","0.53","201"
"2022-12-20","5.83","34.60","22.27","28.01","8.76","0.53","201"
"2022-12-13","5.87","34.56","22.27","28.01","8.76","0.53","201"
"2022-12-06","4.81","33.60","22.92","27.31","10.83","0.53","207"
"2022-11-29","1.20","34.43","25.34","23.67","14.83","0.53","218"
"2022-11-22","1.19","34.47","24.41","24.22","15.18","0.53","219"
"2022-11-15","1.19","34.47","24.41","24.22","15.18","0.53","219"
"2022-11-08","1.19","34.47","23.57","24.17","16.07","0.53","221"
"2022-11-01","1.19","34.78","22.22","25.20","16.07","0.53","222"
"2022-10-25","1.00","32.02","24.91","25.46","16.07","0.53","225"
"2022-10-18","1.54","31.53","25.56","24.77","15.73","0.87","224"
"2022-10-11","1.54","27.86","26.01","27.99","15.73","0.87","231"
"2022-10-04","1.54","27.07","26.69","26.46","17.24","1.01","234"
"2022-09-27","0.50","26.45","27.83","26.97","17.24","1.01","237"
"2022-09-20","0.50","22.35","28.19","30.60","17.35","1.01","245"
"2022-09-13","0.50","20.54","30.01","30.60","17.35","1.01","247"
"2022-09-06","0.50","20.17","29.38","29.33","19.62","1.01","250"
"2022-08-30","0.51","20.46","29.07","26.64","22.30","1.01","253"
"2022-08-23","0.41","15.47","30.04","30.18","22.89","1.01","263"
"2022-08-16","0.37","9.94","33.17","31.41","23.98","1.13","272"
"2022-08-09","0.36","6.18","27.15","32.34","31.72","2.24","296"
"2022-08-02","0.21","5.57","25.58","31.03","31.96","5.65","306"
"2022-07-26","0.21","3.54","25.94","31.57","32.36","6.39","312"
"2022-07-19","0.21","1.52","24.45","31.70","35.38","6.73","321"
"2022-07-12","0.05","1.65","24.51","32.12","34.95","6.73","320"
"2022-07-05","0.05","1.65","19.64","36.40","35.96","6.29","325"
"2022-06-28","0.01","1.66","18.19","37.77","36.08","6.29","327"
"2022-06-21","0.01","1.64","15.29","34.52","41.56","6.97","337"
"2022-06-14","0.01","1.64","15.29","33.74","42.89","6.42","337"
"2022-06-07","0.01","1.64","15.89","34.33","41.70","6.42","335"
"2022-05-31","0.01","1.59","16.02","37.38","40.16","4.84","331"
"2022-05-24","0.00","1.08","16.05","37.74","40.29","4.84","332"
"2022-05-17","0.00","1.08","20.66","43.03","30.79","4.44","317"
"2022-05-10","0.00","1.75","22.93","43.79","31.14","0.39","305"
"2022-05-03","0.00","1.75","24.48","47.19","26.19","0.39","299"
"2022-04-26","0.00","2.57","23.66","50.73","22.72","0.32","295"
"2022-04-19","0.00","7.06","19.99","49.96","22.67","0.32","289"
"2022-04-12","0.00","7.06","19.99","51.92","20.72","0.32","287"
"2022-04-05","0.00","7.06","19.99","52.37","20.26","0.32","287"
"2022-03-29","0.00","11.18","27.33","42.23","18.95","0.32","270"
"2022-03-22","0.00","11.19","27.66","42.79","18.04","0.32","269"
"2022-03-15","0.00","11.15","27.70","42.79","18.04","0.32","269"
"2022-03-08","0.00","11.15","27.96","42.52","18.04","0.32","268"
"2022-03-01","0.00","11.15","27.96","41.52","19.05","0.32","269"
"2022-02-22","0.00","18.37","22.61","43.39","15.30","0.32","257"
"2022-02-15","0.00","18.37","22.90","43.11","15.30","0.32","256"
"2022-02-08","0.00","19.35","23.32","41.72","15.30","0.32","254"
"2022-02-01","0.00","19.35","23.37","42.17","14.80","0.32","253"
"2022-01-25","0.00","19.35","23.37","42.17","14.80","0.32","253"
"2022-01-18","0.00","19.35","23.37","42.17","14.80","0.32","253"
"2022-01-11","0.00","19.35","23.37","42.17","14.80","0.32","253"
"2022-01-04","0.00","18.02","23.68","42.23","15.76","0.32","257"
"2021-12-28","0.00","14.55","26.99","31.78","26.36","0.32","271"
"2021-12-21","0.00","8.59","23.99","33.30","32.92","1.20","294"
"2021-12-14","0.00","8.64","24.29","33.40","32.26","1.40","293"
"2021-12-07","0.00","8.65","23.33","34.35","29.55","4.12","297"
"2021-11-30","0.00","8.65","24.01","33.68","29.55","4.12","297"
"2021-11-23","0.00","9.63","23.24","33.47","29.55","4.12","295"
"2021-11-16","0.00","9.63","23.24","33.47","29.55","4.12","295"
"2021-11-09","0.00","9.63","22.89","32.94","30.42","4.12","297"
"2021-11-02","0.00","9.63","22.53","33.08","29.42","5.34","298"
"2021-10-26","0.00","9.45","22.53","30.57","31.45","6.00","302"
"2021-10-19","0.00","9.43","21.48","29.68","33.41","6.00","305"
"2021-10-12","0.00","9.43","20.78","29.94","32.90","6.95","307"
"2021-10-05","0.00","8.46","19.62","27.41","37.04","7.47","315"
"2021-09-28","0.00","8.87","19.22","25.73","37.85","8.34","318"
"2021-09-21","0.00","6.47","21.61","25.73","37.65","8.54","320"
"2021-09-14","0.35","6.12","21.61","25.31","38.00","8.61","320"
"2021-09-07","0.35","6.12","21.61","25.31","38.00","8.61","320"
"2021-08-31","0.35","2.62","19.50","29.65","37.09","10.80","333"
"2021-08-24","0.37","2.60","19.29","28.81","32.62","16.31","340"
"2021-08-17","0.37","2.44","17.76","17.72","40.00","21.72","360"
"2021-08-10","0.37","1.56","8.22","26.59","40.46","22.81","374"
"2021-08-03","0.29","1.54","8.12","24.50","42.49","23.06","377"
"2021-07-27","0.03","0.76","3.60","21.11","46.72","27.78","397"
"2021-07-20","0.02","0.52","2.78","8.63","38.66","49.40","434"
"2021-07-13","0.02","0.52","3.02","9.85","29.95","56.65","439"
"2021-07-06","0.02","0.51","3.00","11.31","28.82","56.34","437"
"2021-06-29","0.02","0.50","3.01","11.80","28.33","56.34","437"
"2021-06-22","0.02","0.50","4.69","13.17","25.20","56.42","432"
"2021-06-15","0.02","0.51","7.35","11.20","24.93","56.00","429"
"2021-06-08","0.02","0.51","7.65","11.14","24.69","56.00","428"
"2021-06-01","0.00","0.46","7.73","11.14","25.57","55.11","427"
"2021-05-25","0.00","0.43","7.84","11.05","25.57","55.11","427"
"2021-05-18","0.00","0.43","7.13","11.77","26.49","54.18","427"
"2021-05-11","0.00","0.43","7.29","11.47","26.40","54.40","427"
"2021-05-04","0.00","0.37","7.51","11.27","26.89","53.96","427"
"2021-04-27","0.00","0.37","7.38","11.14","27.05","54.06","427"
"2021-04-20","0.00","0.37","7.95","10.58","27.74","53.36","426"
"2021-04-13","0.00","1.22","7.42","10.25","27.75","53.36","425"
"2021-04-06","0.00","3.16","6.12","9.61","28.87","52.25","421"
"2021-03-30","0.00","3.25","6.03","9.61","28.87","52.25","421"
"2021-03-23","0.00","3.25","6.03","9.61","28.71","52.40","421"
"2021-03-16","0.00","3.25","5.78","10.56","28.89","51.52","420"
"2021-03-09","0.00","0.50","8.01","10.90","28.93","51.66","423"
"2021-03-02","0.00","0.50","8.01","10.90","28.93","51.66","423"
"2021-02-23","0.00","0.50","7.37","11.76","28.70","51.66","424"
"2021-02-16","0.00","0.50","6.99","11.51","29.58","51.42","424"
"2021-02-09","0.00","0.50","6.20","9.92","26.05","57.33","434"
"2021-02-02","0.00","0.50","6.20","9.92","26.05","57.33","434"
"2021-01-26","0.00","0.15","6.23","7.26","27.20","59.15","439"
"2021-01-19","0.00","0.15","5.29","7.64","21.49","65.43","447"
"2021-01-12","0.00","0.15","5.45","7.48","21.89","65.03","446"
"2021-01-05","0.00","0.15","5.45","7.48","21.89","65.03","446"
"2020-12-29","0.00","0.15","5.45","7.48","21.89","65.03","446"
"2020-12-22","0.00","0.15","5.45","7.48","21.89","65.03","446"
"2020-12-15","0.00","0.15","5.45","7.48","21.89","65.03","446"
"2020-12-08","0.00","0.15","5.54","8.20","19.76","66.35","447"
"2020-12-01","0.00","0.26","6.46","7.17","19.76","66.35","445"
"2020-11-24","0.00","0.51","6.74","7.52","27.98","57.25","435"
"2020-11-17","0.00","0.51","8.09","9.73","44.88","36.80","409"
"2020-11-10","0.00","0.51","7.81","10.89","54.29","26.50","398"
"2020-11-03","0.00","0.51","8.25","11.27","58.79","21.18","392"
"2020-10-27","0.00","0.51","8.25","11.21","59.75","20.28","391"
"2020-10-20","0.00","0.51","8.25","11.21","59.75","20.28","391"
"2020-10-13","0.00","0.51","8.61","14.10","62.07","14.71","382"
"2020-10-06","0.00","0.51","8.61","14.56","61.61","14.71","381"
"2020-09-29","0.00","1.22","10.86","15.34","65.48","7.10","366"
"2020-09-22","0.57","2.22","11.40","20.79","61.15","3.88","351"
"2020-09-15","1.46","2.07","10.65","21.31","62.00","2.50","348"
"2020-09-08","1.46","3.63","10.24","22.43","61.41","0.83","341"
"2020-09-01","2.11","3.24","14.81","37.43","42.42","0.00","315"
"2020-08-25","2.18","3.18","17.56","34.91","42.17","0.00","312"
"2020-08-18","2.30","6.03","21.29","53.61","16.78","0.00","277"
"2020-08-11","5.24","7.11","42.72","31.04","13.89","0.00","241"
"2020-08-04","5.66","9.25","43.11","33.94","8.04","0.00","229"
"2020-07-28","9.57","19.11","34.16","29.96","7.19","0.00","206"
"2020-07-21","9.57","30.51","31.07","23.59","5.26","0.00","184"
"2020-07-14","28.95","25.38","19.54","20.88","5.26","0.00","148"
"2020-07-07","33.37","25.12","15.90","21.49","4.14","0.00","138"
"2020-06-30","39.29","18.94","16.15","21.49","4.13","0.00","132"
"2020-06-23","38.66","19.42","22.22","15.95","3.76","0.00","127"
"2020-06-16","38.01","19.71","22.42","16.11","3.76","0.00","128"
"2020-06-09","37.89","20.53","22.94","16.24","2.40","0.00","125"
"2020-06-02","45.35","13.69","21.37","17.53","2.06","0.00","117"
"2020-05-26","47.89","11.18","26.42","12.44","2.06","0.00","110"
"2020-05-19","47.89","11.18","28.26","10.61","2.06","0.00","108"
"2020-05-12","48.20","18.35","22.29","10.72","0.45","0.00","97"
"2020-05-05","52.71","13.98","22.13","10.73","0.45","0.00","92"
"2020-04-28","56.82","14.08","20.33","8.77","0.00","0.00","81"
"2020-04-21","55.91","14.99","20.33","8.77","0.00","0.00","82"
"2020-04-14","55.91","15.60","21.89","6.60","0.00","0.00","79"
"2020-04-07","54.06","14.82","23.23","7.89","0.00","0.00","85"
"2020-03-31","54.06","15.45","22.60","7.89","0.00","0.00","84"
"2020-03-24","50.74","18.56","22.47","8.24","0.00","0.00","88"
"2020-03-17","50.63","16.22","24.87","8.27","0.00","0.00","91"
"2020-03-10","50.50","13.62","26.60","9.28","0.00","0.00","95"
"2020-03-03","49.88","14.23","26.60","9.28","0.00","0.00","95"
"2020-02-25","52.58","12.86","25.28","9.28","0.00","0.00","91"
"2020-02-18","50.28","14.49","25.56","9.67","0.00","0.00","95"
"2020-02-11","50.40","13.98","25.96","9.67","0.00","0.00","95"
"2020-02-04","46.02","16.44","27.55","9.98","0.00","0.00","101"
"2020-01-28","46.49","15.97","27.55","9.98","0.00","0.00","101"
"2020-01-21","43.93","18.53","21.37","16.16","0.00","0.00","110"
"2020-01-14","43.93","18.53","21.37","16.16","0.00","0.00","110"
"2020-01-07","43.93","18.53","21.37","16.16","0.00","0.00","110"
"2019-12-31","43.63","18.83","13.95","23.59","0.00","0.00","118"
"2019-12-24","35.41","25.19","13.63","25.76","0.00","0.00","130"
