MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230131,High Plains,16.96,18.32,31.46,16.13,9.55,7.57,1/31/2023,2/6/2023,2
20230131,West,18.89,20.56,31.72,22.45,6.24,0.14,1/31/2023,2/6/2023,2
20230124,High Plains,15.12,20.02,31.06,16.58,9.66,7.57,1/24/2023,1/30/2023,2
20230124,West,18.12,22.49,30.55,22.41,6.28,0.14,1/24/2023,1/30/2023,2
20230117,High Plains,13.84,20.16,30.92,17.04,10.38,7.66,1/17/2023,1/23/2023,2
20230117,West,16.8,23.83,26.94,24.95,7.35,0.14,1/17/2023,1/23/2023,2
20230110,High Plains,13.56,20.63,29.19,18.59,10.38,7.66,1/10/2023,1/16/2023,2
20230110,West,13.72,25.58,26.34,25.61,8.62,0.14,1/10/2023,1/16/2023,2
20230103,High Plains,13.54,20.11,29.32,18.68,10.52,7.83,1/3/2023,1/9/2023,2
20230103,West,12.08,25.51,23.57,26.43,12.14,0.27,1/3/2023,1/9/2023,2
20221227,High Plains,8.13,23.16,27.76,20.71,11.57,8.67,12/27/2022,1/2/2023,2
20221227,West,8.44,27.31,20.45,29.71,12.81,1.27,12/27/2022,1/2/2023,2
20221220,High Plains,8.65,22.44,27.96,20.71,11.57,8.67,12/20/2022,12/26/2022,2
20221220,West,8.66,26.7,20.84,29.71,12.81,1.27,12/20/2022,12/26/2022,2
20221213,High Plains,8.25,17.59,28.53,23.66,13.27,8.71,12/13/2022,12/19/2022,2
20221213,West,8.66,26.34,20.84,29.97,12.9,1.28,12/13/2022,12/19/2022,2
20221206,High Plains,8.25,17.59,28.53,23.41,13.66,8.55,12/6/2022,12/12/2022,2
20221206,West,7.93,25.44,21.39,29.25,13.98,2.02,12/6/2022,12/12/2022,2
20221129,High Plains,8.25,16.52,31.16,22.1,13.61,8.36,11/29/2022,12/5/2022,2
20221129,West,6.58,24.69,23.86,27.26,15.6,2.02,11/29/2022,12/5/2022,2
20221122,High Plains,6.86,17.27,31.47,22.42,13.61,8.36,11/22/2022,11/28/2022,2
20221122,West,5.98,24.76,23.82,26.78,16.64,2.02,11/22/2022,11/28/2022,2
20221115,High Plains,6.99,17.3,31.73,22.24,13.41,8.33,11/15/2022,11/21/2022,2
20221115,West,5.84,24.98,23.65,26.96,16.55,2.02,11/15/2022,11/21/2022,2
20221108,High Plains,6.16,17.74,29.57,24.75,13.82,7.97,11/8/2022,11/14/2022,2
20221108,West,5.48,25.38,22.88,27.21,16.52,2.53,11/8/2022,11/14/2022,2
20221101,High Plains,6.16,17.67,30.54,25.13,12.57,7.93,11/1/2022,11/7/2022,2
20221101,West,4.67,21.83,26.21,27.96,16.81,2.53,11/1/2022,11/7/2022,2
20221025,High Plains,6.48,19.76,32.96,20.47,12.88,7.45,10/25/2022,10/31/2022,2
20221025,West,4.56,21.95,25.69,28.25,17.02,2.53,10/25/2022,10/31/2022,2
