year,month,Powell_Storage,Mead_Storage,month_name,None,D0,D1,D2,D3,D4,D_Combined,AvgSWE,D_Outcome
2002,1,17750897.16129032,19847854.451612905,Jan,35.006,52.136,8.508,2.448,1.906,0.0,4.354,6.158064516129032,0
2002,2,17340777.8,19813287.14285714,Feb,7.532500000000001,54.4575,33.4275,3.3875,1.1975,0.0,4.585,7.903571428571429,0
2002,3,17045513.870967742,19393544.19354839,Mar,0.0,25.6375,53.3625,20.16,0.8374999999999999,0.0,20.9975,10.651612903225804,0
2002,4,16818848.43,18832301.8,Apr,0.0,9.564,20.772,60.34400000000001,9.318,0.0,69.662,7.89,1
2002,5,16586459.51935484,18240943.93548387,May,0.0,4.535,5.7325,36.1575,49.795,3.78,89.7325,1.532258064516129,1
2002,6,16357008.95,17747641.666666668,Jun,0.0,1.1075,8.365,21.4225,51.13,17.975,90.5275,0.0,1
2002,7,15714087.383870969,17458516.774193548,Jul,0.0,0.002,5.702,13.326,43.496,37.472,94.294,0.0,1
2002,8,14941147.66451613,17288368.0,Aug,0.0,0.0,5.465,24.6025,44.6575,25.2725,94.5325,0.0,1
2002,9,14531404.06,17143386.133333333,Sep,0.0,0.0,2.93,27.025,48.255,21.7875,97.0675,0.0066666666666666,1
2002,10,14364946.938709678,17059995.48387097,Oct,0.0,0.0,12.81,27.910000000000004,48.556,10.718,87.18400000000001,0.2806451612903226,1
2002,11,14189794.906666666,16956117.933333334,Nov,0.0,0.0,16.0875,31.28,44.8475,7.785,83.9125,1.2,1
2002,12,13938782.425806452,16790830.967741936,Dec,0.0,0.0,9.142,39.902,42.684000000000005,8.272,90.85800000000002,4.319354838709677,1
2003,1,13511669.44516129,16799752.612903226,Jan,0.0,0.0,6.9475,22.21,61.71,9.1275,93.0475,7.593548387096774,1
2003,2,13034966.789285716,16892516.214285713,Feb,0.0,0.0,6.279999999999999,15.505,69.785,8.435,93.725,9.9,1
2003,3,12624405.79032258,16952882.64516129,Mar,0.0,0.0,15.6125,21.76,58.0325,4.5975,84.39,14.435483870967742,1
2003,4,12323895.993333334,16572778.566666666,Apr,0.0,0.0,15.574000000000002,24.546,57.374,2.504,84.424,16.76,1
2003,5,12342885.316129033,16089025.774193548,May,0.0,0.7525,12.1075,25.5225,56.5325,5.0875,87.14250000000001,12.264516129032256,1
2003,6,13280952.13,15815501.033333331,Jun,0.0175,0.8875,9.54,27.5175,53.565,8.469999999999999,89.5525,0.5733333333333334,1
2003,7,13101336.232258065,15668486.58064516,Jul,0.016,0.58,4.926,25.966,59.49399999999999,9.018,94.478,0.0,1
2003,8,12462884.235483872,15674146.58064516,Aug,0.0,0.0,10.5775,19.865,58.935,10.6175,89.41750000000002,0.0,1
2003,9,12146818.54,15698917.466666669,Sep,0.0,1.326,12.234,30.602,49.356,6.48,86.438,0.0,1
2003,10,12030989.70967742,15611375.806451611,Oct,0.0,3.635,12.3425,33.754999999999995,44.775000000000006,5.495,84.025,0.2774193548387096,1
2003,11,11869083.636666669,15421445.6,Nov,0.0,5.6225,15.21,27.0775,44.6275,7.460000000000001,79.16499999999999,3.646666666666667,1
