year,month,month_name,storage
1937,5,May,10178932.15
1937,6,Jun,11289880.256666666
1937,7,Jul,12262272.890322581
1937,8,Aug,12360733.916129032
1937,9,Sep,12123465.903333334
1937,10,Oct,11978394.964516127
1937,11,Nov,11884177.76
1937,12,Dec,11839440.303225806
1938,1,Jan,11789789.793548388
1938,2,Feb,11741775.62142857
1938,3,Mar,12093893.361290323
1938,4,Apr,12368302.68
1938,5,May,14426619.977419356
1938,6,Jun,17757739.493333332
1938,7,Jul,20117253.97419355
1938,8,Aug,20252192.845161293
1938,9,Sep,20262025.816666666
1938,10,Oct,20236816.448387098
1938,11,Nov,19831682.84
1938,12,Dec,19707967.683870967
1939,1,Jan,19636550.232258067
1939,2,Feb,18821700.164285716
1939,3,Mar,18254524.490322582
1939,4,Apr,18784790.433333334
1939,5,May,19799804.387096774
1939,6,Jun,21321907.383333333
1939,7,Jul,21543776.90967742
1939,8,Aug,21089041.60322581
1939,9,Sep,20960438.33
1939,10,Oct,20856945.058064513
1939,11,Nov,20469779.646666665
1939,12,Dec,20078040.29032258
1940,1,Jan,19678320.94516129
1940,2,Feb,19454461.275862068
1940,3,Mar,19345755.18709677
1940,4,Apr,19192935.34
1940,5,May,19823056.841935486
1940,6,Jun,21193172.566666666
1940,7,Jul,21354153.096774194
1940,8,Aug,20896141.30645161
1940,9,Sep,20521702.65
1940,10,Oct,20478652.990322582
1940,11,Nov,20160756.08
1940,12,Dec,19799869.919354837
1941,1,Jan,20243129.19032258
1941,2,Feb,20181428.57142857
1941,3,Mar,20438064.51612903
1941,4,Apr,20946333.333333332
1941,5,May,23064193.548387095
1941,6,Jun,25965333.333333332
1941,7,Jul,27570000.0
1941,8,Aug,27535806.451612905
1941,9,Sep,26557666.666666668
1941,10,Oct,26189032.258064516
1941,11,Nov,26035000.0
1941,12,Dec,24763225.80645161
1942,1,Jan,23312580.64516129
1942,2,Feb,21940714.285714287
1942,3,Mar,20983548.387096774
1942,4,Apr,21348333.333333332
1942,5,May,23030322.580645163
1942,6,Jun,26971966.666666668
1942,7,Jul,29865387.096774194
1942,8,Aug,29697645.16129032
1942,9,Sep,29063066.666666668
1942,10,Oct,28160903.225806452
1942,11,Nov,27396300.0
1942,12,Dec,26627419.35483871
1943,1,Jan,25827709.677419353
1943,2,Feb,25254035.714285713
1943,3,Mar,24869096.774193548
1943,4,Apr,24821500.0
1943,5,May,25962516.129032258
1943,6,Jun,27134966.666666668
1943,7,Jul,28163645.16129032
1943,8,Aug,27965193.548387095
1943,9,Sep,27567800.0
1943,10,Oct,26849967.741935484
1943,11,Nov,26051300.0
1943,12,Dec,25274193.548387095
1944,1,Jan,24395258.06451613
1944,2,Feb,23452965.51724138
1944,3,Mar,22629580.64516129
1944,4,Apr,22260633.333333332
1944,5,May,22884290.322580647
1944,6,Jun,25805866.666666668
1944,7,Jul,27783967.741935484
1944,8,Aug,27450516.129032258
1944,9,Sep,26549900.0
1944,10,Oct,25602258.06451613
1944,11,Nov,24749400.0
1944,12,Dec,23923451.612903226
1945,1,Jan,23088387.096774194
1945,2,Feb,22304714.285714287
1945,3,Mar,21573548.387096774
1945,4,Apr,21013533.333333332
1945,5,May,21789645.16129032
1945,6,Jun,23552766.666666668
1945,7,Jul,24914064.51612903
1945,8,Aug,25353129.032258064
1945,9,Sep,25138400.0
1945,10,Oct,24512225.80645161
1945,11,Nov,23933733.333333332
1945,12,Dec,23253870.967741936
1946,1,Jan,22581645.16129032
1946,2,Feb,21812642.85714286
1946,3,Mar,21208903.225806452
1946,4,Apr,20918966.666666668
1946,5,May,21608419.35483871
1946,6,Jun,22397366.666666668
1946,7,Jul,22990741.93548387
1946,8,Aug,22763419.35483871
1946,9,Sep,22447366.666666668
1946,10,Oct,21961225.80645161
1946,11,Nov,21613733.333333332
1946,12,Dec,21306032.258064516
1947,1,Jan,20782709.677419353
1947,2,Feb,20146642.85714286
1947,3,Mar,19652548.387096774
1947,4,Apr,19521633.333333332
1947,5,May,20393096.774193548
1947,6,Jun,22586266.666666668
1947,7,Jul,24453580.64516129
1947,8,Aug,24816677.419354837
1947,9,Sep,24989033.333333332
1947,10,Oct,24774677.419354837
1947,11,Nov,24655266.666666668
1947,12,Dec,24169322.580645163
1948,1,Jan,23489064.51612903
1948,2,Feb,22658931.03448276
1948,3,Mar,22067354.83870968
1948,4,Apr,21965766.666666668
1948,5,May,23216225.80645161
1948,6,Jun,25995766.666666668
1948,7,Jul,26749838.70967742
1948,8,Aug,26308000.0
1948,9,Sep,25640000.0
1948,10,Oct,24861741.93548387
1948,11,Nov,24239400.0
1948,12,Dec,23484193.548387095
1949,1,Jan,22691225.80645161
1949,2,Feb,21791714.285714287
1949,3,Mar,21142032.258064516
1949,4,Apr,20854466.666666668
1949,5,May,22072774.19354839
1949,6,Jun,24541100.0
1949,7,Jul,27140032.258064516
1949,8,Aug,27204290.322580647
1949,9,Sep,26473500.0
1949,10,Oct,21667709.677419353
1949,11,Nov,21062000.0
1949,12,Dec,20324451.612903226
1950,1,Jan,19425645.16129032
1950,2,Feb,18586071.42857143
1950,3,Mar,17949548.387096774
1950,4,Apr,17567866.666666668
1950,5,May,18001451.612903226
1950,6,Jun,19503533.333333332
1950,7,Jul,20748322.580645163
1950,8,Aug,20583806.451612905
1950,9,Sep,20022800.0
1950,10,Oct,19470806.451612905
1950,11,Nov,18907366.666666668
1950,12,Dec,18473870.967741936
1951,1,Jan,17927451.612903226
1951,2,Feb,17447500.0
1951,3,Mar,17020806.451612905
1951,4,Apr,16633766.666666666
1951,5,May,16616258.064516129
1951,6,Jun,18153566.666666668
1951,7,Jul,19535774.19354839
1951,8,Aug,19672161.29032258
1951,9,Sep,19363166.666666668
1951,10,Oct,18897225.80645161
1951,11,Nov,18549033.333333332
1951,12,Dec,18072419.35483871
1952,1,Jan,17636032.258064516
1952,2,Feb,17000517.24137931
1952,3,Mar,16096129.032258065
1952,4,Apr,15879133.333333334
1952,5,May,18546645.16129032
1952,6,Jun,22071800.0
1952,7,Jul,24006935.48387097
1952,8,Aug,23651516.129032258
1952,9,Sep,22940566.666666668
