year,month,month_name,storage
1963,6,Jun,4266.666666666667
1963,7,Jul,33174.1935483871
1963,8,Aug,127722.58064516129
1963,9,Sep,436433.3333333333
1963,10,Oct,580270.9677419355
1963,11,Nov,736400.0
1963,12,Dec,900064.5161290322
1964,1,Jan,1043854.8387096775
1964,2,Feb,1110200.0
1964,3,Mar,1109900.0
1964,4,Apr,809686.6666666666
1964,5,May,848412.9032258064
1964,6,Jun,2547540.0
1964,7,Jul,3522464.5161290322
1964,8,Aug,3957335.4838709678
1964,9,Sep,4044346.6666666665
1964,10,Oct,4097119.35483871
1964,11,Nov,4094043.3333333335
1964,12,Dec,4088474.193548387
1965,1,Jan,4097780.64516129
1965,2,Feb,4087125.0
1965,3,Mar,4088212.9032258065
1965,4,Apr,4090870.0
1965,5,May,4107261.290322581
1965,6,Jun,4394310.0
1965,7,Jul,5837951.612903226
1965,8,Aug,6436538.70967742
1965,9,Sep,6249636.666666667
1965,10,Oct,6324832.258064516
1965,11,Nov,6352873.333333333
1965,12,Dec,6488751.612903226
1966,1,Jan,6620635.483870967
1966,2,Feb,6537796.428571428
1966,3,Mar,6572067.741935484
1966,4,Apr,6811070.0
1966,5,May,7049777.419354838
1966,6,Jun,7268500.0
1966,7,Jul,7083945.161290322
1966,8,Aug,6700245.161290322
1966,9,Sep,6390790.0
1966,10,Oct,6131912.903225807
1966,11,Nov,5968023.333333333
1966,12,Dec,5827945.161290322
1967,1,Jan,5568409.677419355
1967,2,Feb,5405321.428571428
1967,3,Mar,5262335.483870967
1967,4,Apr,5045956.666666667
1967,5,May,4771635.483870967
1967,6,Jun,5642230.0
1967,7,Jul,6369751.612903226
1967,8,Aug,6364470.9677419355
1967,9,Sep,6205956.666666667
1967,10,Oct,6145454.838709678
1967,11,Nov,6151940.0
1967,12,Dec,6084196.774193549
1968,1,Jan,6014425.806451613
1968,2,Feb,5962837.931034483
1968,3,Mar,5868725.806451613
1968,4,Apr,5435113.333333333
1968,5,May,5449435.483870967
1968,6,Jun,6739553.333333333
1968,7,Jul,7416635.483870967
1968,8,Aug,7524719.354838709
1968,9,Sep,7364256.666666667
1968,10,Oct,7223906.451612903
1968,11,Nov,7071426.666666667
1968,12,Dec,6939796.774193549
1969,1,Jan,6890858.064516129
1969,2,Feb,6999910.714285715
1969,3,Mar,7156577.419354838
1969,4,Apr,7385736.666666667
1969,5,May,8444648.387096774
1969,6,Jun,9613083.333333334
1969,7,Jul,10026487.096774194
1969,8,Aug,9803461.290322581
1969,9,Sep,9466490.0
1969,10,Oct,9459270.967741935
1969,11,Nov,9497796.666666666
1969,12,Dec,9341551.612903226
1970,1,Jan,9131438.709677419
1970,2,Feb,9077414.285714285
1970,3,Mar,9220506.451612903
1970,4,Apr,9025150.0
1970,5,May,9267625.806451613
1970,6,Jun,10993423.333333334
1970,7,Jul,11858703.225806452
1970,8,Aug,11720803.225806452
1970,9,Sep,11650746.666666666
1970,10,Oct,11693364.516129032
1970,11,Nov,11808003.333333334
1970,12,Dec,11824977.41935484
1971,1,Jan,11716916.129032258
1971,2,Feb,11960503.57142857
